State Name,Total Electric Vehicle,Total Non-Electric Vehicle,Total,No. of EV chargers sanctioned
Andaman and Nicobar Island,162,146945,147107,10
Assam,64766,4677053,4741819,20
Bihar,83335,10407078,10490413,37
Chandigarh,2812,746881,749693,70
Chhattisgarh,20966,6836200,6857166,25
Delhi,156393,7685600,7841993,72
Gujarat,45272,20605484,20650756,278
Haryana,37035,10778270,10815305,50
Himachal Pradesh,1175,1964754,1965929,10
Jammu and Kashmir,2941,1869962,1872903,25
Karnataka,120532,26870303,26990835,172
Kerala,30775,15774078,15804853,211
Maharashtra,116646,31058990,31175636,317
Meghalaya,49,459001,459050,40
Odisha,23371,9845073,9868444,18
Puducherry,2149,1213735,1215884,10
Rajasthan,81338,17327388,17408726,205
Sikkim,21,97189,97210,29
Tamil Nadu,82051,29842376,29924427,281
Uttarakhand,31008,3312041,3343049,10
Uttar Pradesh,337180,40092490,40429670,207
West Bengal,48767,14134171,14182938,141